time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,x_pose,y_pose,z_pose,.pose.orientation.x,.pose.orientation.y,.pose.orientation.z,.pose.orientation.w,c
2023/02/19/19:16:52.595290,2112,1814967,151579281,map,5.094233513,9.967199326,14.94198704,-0.091719687,0.262042836,-0.674233699,-0.684346529,71
2023/02/19/19:16:52.627540,2113,1814967,184182638,map,5.101986885,9.955490112,14.92124557,-0.101224855,0.298143888,-0.662714294,-0.679465752,71
2023/02/19/19:16:52.667402,2114,1814967,224182638,map,5.108780384,9.935584068,14.8933239,-0.104260493,0.311695648,-0.657543008,-0.677947575,71
2023/02/19/19:16:52.699708,2115,1814967,256182638,map,5.111403942,9.914849281,14.86849785,-0.108648422,0.331971254,-0.648599337,-0.676246722,71
2023/02/19/19:16:52.731178,2116,1814967,288795827,map,5.111244202,9.889401436,14.84164333,-0.111543289,0.344429177,-0.641417484,-0.676395193,71
2023/02/19/19:16:52.767452,2117,1814967,320795827,map,5.10874033,9.860046387,14.8135004,-0.112579796,0.348613569,-0.638390326,-0.676943273,71
2023/02/19/19:16:52.799474,2118,1814967,352795827,map,5.103273392,9.825651169,14.78342724,-0.114412183,0.354081522,-0.633281666,-0.678594628,71
2023/02/19/19:16:52.831098,2119,1814967,385408033,map,5.094646931,9.785898209,14.75157833,-0.116131563,0.356738207,-0.629209804,-0.680695451,71
2023/02/19/19:16:52.867624,2120,1814967,425408033,map,5.07994175,9.729439735,14.70981979,-0.116850799,0.357389797,-0.627433804,-0.681869003,71
2023/02/19/19:16:52.899339,2121,1814967,457408033,map,5.064318657,9.677698135,14.67465401,-0.118502861,0.357948127,-0.623868686,-0.684556961,71
2023/02/19/19:16:52.931187,2122,1814967,490017957,map,5.045823097,9.621005058,14.6385107,-0.119854447,0.357617969,-0.620969647,-0.687125232,71
2023/02/19/19:16:52.967147,2123,1814967,522017957,map,5.024351597,9.55921936,14.60146427,-0.12059444,0.357539387,-0.619569223,-0.688299833,71
2023/02/19/19:16:52.999035,2124,1814967,554017957,map,4.998837471,9.490573883,14.56314087,-0.121703018,0.357124335,-0.617308764,-0.690348209,71
2023/02/19/19:16:53.031236,2125,1814967,586625904,map,4.970844269,9.417609215,14.52420616,-0.122702478,0.356709241,-0.614893913,-0.69253749,71
